,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,True,False,True,True,True
1,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,False,True,True,True,True
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,False,False,True,True,True
3,UCLXo7UDZvByw2ixzpQCufnA,Vox,True,False,True,True,True
4,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),False,True,True,True,True
5,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,False,False,False,True,True
6,UC0yLX6hpcYhAU3iVjhwD5-A,TRT Afrika,False,False,False,False,False
7,UCWlIGsKGsvgFJHkiZml4O1A,Grunge,False,True,True,False,True
8,UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,False,False,False,True,True
9,UC9h8BDcXwkhZtnqoQJ7PggA,Warographics,False,False,False,True,False
10,UCsgPO6cNV0wBG-Og3bUZoFA,Free Documentary - History,False,False,False,False,True
11,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,False,False,True,True,True
12,UC3uAjWoLZ4bSi6qI9SjALxA,Imperial War Museums,False,False,False,True,True
13,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,False,False,True,True,True
14,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,False,False,True,True,True
15,UCK-HHyVCfKYzhxVOJgBt73w,Keerthi History,False,False,False,True,True
16,UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries,False,False,False,False,True
17,UCQHRLH8RQIrdGWMhf5heWiA,OnePath Network,False,False,True,False,True
18,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,False,False,True,True,True
19,UCkS_HP3m9NXOgswVAKbMeJQ,Then & Now,False,False,True,True,False
20,UCLfMmOriSyPbd5JhHpnj4Ng,TimeGhost History,False,False,True,False,True
21,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,False,False,True,True,False
22,UCz8QaiQxApLq8sLNcszYyJw,Firstpost,False,False,True,True,True
23,UCWQ9ZFFhEqUZ0r1IspnBm6Q,TDC,False,False,False,False,False
24,UC8URMa1fI4rlaLc-Lhev2fQ,Ryan McBeth,False,False,True,True,False
25,UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,False,False,True,False,False
26,UC7JrMLRDJLUh5BPBYykMcrQ,History on Maps,False,False,False,False,False
27,UC6wBro4B4pf9xnBh9Xi2zcQ,David Hoffman,False,False,False,False,False
28,UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,False,False,False,True,True
29,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,False,False,True,True,True
30,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,True,False,True,True,True
31,UCYCVm1aN33HYdLs66DHw_ow,Amit Sengupta,False,False,True,True,True
32,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,False,False,False,True,True
33,UC73H5p3GP8b5N1f3hozIXyQ,TBN Israel,False,False,True,False,True
34,UCxX8HALRumMSt7hb4O6Noyg,The History Hub,False,False,False,False,True
35,UCJsUvAqDzczYv2UpFmu4PcA,Nas Daily,False,False,True,False,True
36,UCGwO43-vnmkQ2i1v886JjVw,Casual Historian,False,False,False,True,True
37,UC3ScyryU9Oy9Wse3a8OAmYQ,FRONTLINE PBS | Official,False,False,True,True,True
38,UCsufaClk5if2RGqABb-09Uw,The Rest Is Politics,False,False,False,False,False
39,UCkeTA80xeSa9POCGRpWTIfQ,travelingisrael.com,False,False,True,False,True
40,UCA295QVkf9O1RQ8_-s3FVXg,Aevy TV,False,False,True,False,False
41,UCItJsxqZNWUyxFn-A2tzizQ,Priya Jain,False,False,False,False,False
42,UCknLrEdhRCp1aegoMqRaCZg,DW News,False,False,True,True,True
43,UCK0UUsCjtMRNtS3BPh1Yc4w,ABC Action News,False,False,True,True,True
44,UCWUA2W6LueNy9BSovivFVvQ,CBC Kids News,False,False,True,True,False
45,UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,False,False,True,True,True
46,UCJEDFSxHHOW1PpBccdSxOTA,The Indian Express,False,False,True,True,True
47,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,False,False,True,True,True
48,UC1pfsmDBnMQB8sOuQvmTvRQ,BYJU'S IAS,False,False,False,False,False
49,UCW39zufHfsuGgpLviKh297Q,DW Documentary,False,False,True,False,True
50,UCfAOh2t5DpxVrgS9NQKjC7A,The Onion,False,False,True,True,True
51,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,True,False,False,True,True
52,UC16niRr50-MSBwiO3YDb3RA,BBC News,False,False,True,True,True
53,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,False,False,False,True,True
