,video_id,video_title,description,video_dop,view_count,like_count,comment_count,channel_id,channel_title,channel_dop,sub_count,total_videos
0,m3P-bmt3Uqw,JN.1 COVID-19 subvariant causing spike in cases,'An infectious disease expert says the new COVID-19 subvariant is causing a spike in cases. But he turns down calls to make face masks mandatory again.\r\n\r\nPage Javier tells us more.\r\n \r\nVisit our website for more #NewsYouCanTrust: https://www.cnnphilippines.com/\r\n\r\nFollow our social media pages:\r\n\r\n• Facebook: https://www.facebook.com/CNNPhilippines\r\n• Instagram: https://www.instagram.com/cnnphilippines/\r\n• Twitter: https://twitter.com/cnnphilippines',2023-12-25,6353,45,18,UCj6spMO3ybZPobE0T5perHA,CNN Philippines,2015-03-16,1390000,22664
1,sYI97jv-pZg,"PH records 2,725 new COVID cases from Dec. 12 to 18 | ANC","'The World Tonight: The daily average of the Philippines’ new COVID-19 cases in the past seven days is up 50 percent from the previous week.\n\nFor more ANC Interviews, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4AT2G3LWF27_RErcz0GVd9\n\nFor more The World Tonight videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4SNACPFOkOj9LsAXWTFwqT\n\nFor more ANC Highlights videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4cKXctfaRZsLEHahqOc9dQ\n\nSubscribe to the ANC YouTube channel!\nhttps://www.youtube.com/user/ANCalerts\n\nVisit our website at https://news.abs-cbn.com/anc\nFacebook: https://www.facebook.com/ancalerts\nTwitter: https://twitter.com/ancalerts\n\n#ANCNews\n#ANCHighlights\n#TheWorldTonight'",2023-12-18,1910,14,3,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1490000,69680
2,3YFpjgIQqEo,"WATCH: DOH Usec. Tayag on rise of COVID-19 cases, cases of walking pneumonia in PH | ANC","'Dateline Philippines: Karmina Constantino talks to DOH Undersecretary Dr. Eric Tayag on the rise of respiratory diseases in the Philippines including COVID-19 and the so-called walking pneumonia.\n\nFor more ANC Interviews, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4AT2G3LWF27_RErcz0GVd9\n\nFor more Dateline Philippines videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU7zvfIETnDCK9mOu9dhNLos\n\nFor more ANC Highlights videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4cKXctfaRZsLEHahqOc9dQ\n\nSubscribe to the ANC YouTube channel!\nhttps://www.youtube.com/user/ANCalerts\n\nVisit our website at https://news.abs-cbn.com/anc\nFacebook: https://www.facebook.com/ancalerts\nTwitter: https://twitter.com/ancalerts\n\n#DatelinePhilippines\n#LatestNews\n#ANC'",2023-12-07,9300,80,16,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1490000,69680
3,DWxIvQlpJK8,Metro Manila to be placed on lockdown due to coronavirus outbreak,"'Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video Follow Rappler for the latest news in the Philippines and across the globe. ""For Manila, some say \'We don\'t want to use that term,\' but that\'s because you\'re afraid to call it a lockdown, but it\'s a lockdown. There is no struggle of power here, there is no fight here, no war. It\'s just a matter of protecting and defending you from COVID-19,"" President Rodrigo Duterte says in a mix of English and Filipino. \n\nFull story: http://www.rappler.com/nation/254101-metro-manila-placed-on-lockdown-coronavirus-outbreak\n\nFrom cartoons and animation timelapses, to newsroom tours, to Live Jam sound checks, get access to Rappler’s MEMBERS-ONLY content here: https://www.youtube.com/channel/UCdnZdQxYXnbN4uWJg96oGxw/join Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. Help us stay free and independent of political pressure and commercial interests: https://r3.rappler.com/crowdfunding Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/'",2020-03-12,104043,736,18,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1930000,50236
4,CEIrzjA8euQ,DOH urges public to mask up amid rise in COVID-19 cases | ANC,"'Dateline Philippines: The Philippine Health Department urges Filipinos to mask up once again.\n\nFor more ANC Interviews, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4AT2G3LWF27_RErcz0GVd9\n\nFor more Dateline Philippines videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU7zvfIETnDCK9mOu9dhNLos\n\nFor more ANC Highlights videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4cKXctfaRZsLEHahqOc9dQ\n\nSubscribe to the ANC YouTube channel!\nhttps://www.youtube.com/user/ANCalerts\n\nVisit our website at https://news.abs-cbn.com/anc\nFacebook: https://www.facebook.com/ancalerts\nTwitter: https://twitter.com/ancalerts\n\n#DatelinePhilippines\n#LatestNews\n#ANC'",2023-12-13,1995,26,2,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1490000,69680
5,dIsaz_XlmTw,DOH logs 18 cases of JN.1 COVID-19 variant in PH,'The Department of Health says it has already detected 18 cases of the JN.1 variant of COVID-19 in the country.\n\nRead more: https://inqnews.net/18casesJN1\n\nVisit us at https://www.inquirer.net\r\nFacebook: https://facebook.com/inquirerdotnet\r\nTwitter: https://twitter.com/inquirerdotnet',2023-12-24,37899,86,81,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,2012-03-15,1630000,34500
6,n-j5rK1XOUc,W.H.O.: COVID-19 remains as health threat | New Day,"'Government agencies are set to convene after the World Health Organization said that COVID-19 is no longer a global health emergency.\r\n\r\nDespite the declaration, some say they will still observe COVID-19 safety protocols to prevent infection.\r\n\r\nKaithreen Cruz has more.\r\n \r\nVisit our website for more #NewsYouCanTrust: https://www.cnnphilippines.com/\r\n\r\nFollow our social media pages:\r\n\r\n• Facebook: https://www.facebook.com/CNNPhilippines\r\n• Instagram: https://www.instagram.com/cnnphilippines/\r\n• Twitter: https://twitter.com/cnnphilippines'",2023-05-08,14429,86,25,UCj6spMO3ybZPobE0T5perHA,CNN Philippines,2015-03-16,1390000,22664
7,aLZ85hb4wjE,Normally crowded streets of Philippine capital Manila deserted amid month-long Covid-19 lockdown,"'Subscribe to our YouTube channel for free here: \nhttps://sc.mp/subscribe-youtube\n\nA month-long lockdown to combat the spread of the coronavirus that causes Covid-19 has emptied the normally bustling streets of Metro Manila. The Philippine capital and surrounding areas have been sealed off since March 15, 2020, after authorities suspended all domestic land, sea and air traffic.\n\nFollow us on:\nWebsite:  https://scmp.com\nFacebook:  https://facebook.com/scmp\nTwitter:  https://twitter.com/scmpnews\nInstagram:  https://instagram.com/scmpnews\nLinkedin:  https://www.linkedin.com/company/south-china-morning-post/'",2020-04-02,322902,3282,619,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,2007-01-18,3790000,16886
8,ZCWe7Zgccn4,DOH warns vs. COVID-19 complacency | ANC,"'Dateline Philippines: As Filipinos begin preparing for the long holiday this coming weekend, the Philippine Health Department warns them against COVID-19 complacency.\n\nFor more ANC Interviews, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4AT2G3LWF27_RErcz0GVd9\n\nFor more Dateline Philippines videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU7zvfIETnDCK9mOu9dhNLos\n\nFor more ANC Highlights videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU43K1JtKfSzAzho2UExmS3G\n\nSubscribe to the ANC YouTube channel!\nhttps://www.youtube.com/user/ANCalerts\n\nVisit our website at https://news.abs-cbn.com/anc\nFacebook: https://www.facebook.com/ancalerts\nTwitter: https://twitter.com/ancalerts\n\n#ANCNews\n#ANCHighlights\n#DatelinePhilippines\n\n\xa0#ANCHighlights #ANCAlerts #ANCNews'",2023-10-24,12783,66,30,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1490000,69680
9,Mxf8uGFcqSE,OCTA Research: COVID-19 cases on the rise in PH | ANC,"'Dateline Philippines: Cases of COVID-19 are on the rise again in the Philippines.\n\nFor more ANC Interviews, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4AT2G3LWF27_RErcz0GVd9\n\nFor more Dateline Philippines videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU7zvfIETnDCK9mOu9dhNLos\n\nFor more ANC Highlights videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU6AE3fKwaksh0g6_yd4OLJ9\n\nSubscribe to the ANC YouTube channel!\nhttps://www.youtube.com/user/ANCalerts\n\nVisit our website at https://news.abs-cbn.com/anc\nFacebook: https://www.facebook.com/ancalerts\nTwitter: https://twitter.com/ancalerts\n\n#ANCNews\n#ANCHighlights\n#DatelinePhilippines'",2023-12-06,897,8,4,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1490000,69680
